Energy Usage Information,,
,,
,,
Meter Reading Information,,
Type of readings: Electricity,,
,,
Summary of Electric Power Usage Information*,,
"Your download will contain interval usage data that is currently available for your selected Service Account. Based on how our systems process and categorize usage data, your download may contain usage data of the following types: actual, estimated, validated or missing. ",,
,,
Detailed Usage,,
Start date: 2019-09-30 23:00:00  for 123 days,,
,,
Data for period starting: 2019-10-01 00:00:00  for 24 hours,,
Energy consumption time period,Usage(Real energy in kilowatt-hours),Reading quality
2019-10-06 14:00:00 to 2019-10-06 15:00:00,1.96,
2019-10-06 15:00:00 to 2019-10-06 16:00:00,1.993,
2019-10-06 16:00:00 to 2019-10-06 17:00:00,2.7,
2019-10-06 17:00:00 to 2019-10-06 18:00:00,3.47,
2019-10-06 18:00:00 to 2019-10-06 19:00:00,3.1,
2019-10-06 19:00:00 to 2019-10-06 20:00:00,2.737,
2019-10-06 20:00:00 to 2019-10-06 21:00:00,3.573,
2019-10-06 21:00:00 to 2019-10-06 22:00:00,3.413,
2019-10-06 22:00:00 to 2019-10-06 23:00:00,3.643,
2019-10-06 23:00:00 to 2019-10-07 00:00:00,2.677,
,,
Data for period starting: 2019-10-07 00:00:00  for 24 hours,,
Energy consumption time period,Usage(Real energy in kilowatt-hours),Reading quality
2019-10-07 00:00:00 to 2019-10-07 01:00:00,2.12,
2019-10-07 01:00:00 to 2019-10-07 02:00:00,1.563,
2019-10-07 02:00:00 to 2019-10-07 03:00:00,1.883,
2019-10-07 03:00:00 to 2019-10-07 04:00:00,1.377,
2019-10-07 04:00:00 to 2019-10-07 05:00:00,1.607,
2019-10-07 05:00:00 to 2019-10-07 06:00:00,2.173,
2019-10-07 06:00:00 to 2019-10-07 07:00:00,1.66,
2019-10-07 07:00:00 to 2019-10-07 08:00:00,1.373,
2019-10-07 08:00:00 to 2019-10-07 09:00:00,1.393,
2019-10-07 09:00:00 to 2019-10-07 10:00:00,1.463,
2019-10-07 10:00:00 to 2019-10-07 11:00:00,1.383,
2019-10-07 11:00:00 to 2019-10-07 12:00:00,1.337,
2019-10-07 12:00:00 to 2019-10-07 13:00:00,2.1,
2019-10-07 13:00:00 to 2019-10-07 14:00:00,3.147,
2019-10-07 14:00:00 to 2019-10-07 15:00:00,2.163,
2019-10-07 15:00:00 to 2019-10-07 16:00:00,1.373,
2019-10-07 16:00:00 to 2019-10-07 17:00:00,1.523,
2019-10-07 17:00:00 to 2019-10-07 18:00:00,2.17,
2019-10-07 18:00:00 to 2019-10-07 19:00:00,2.227,
2019-10-07 19:00:00 to 2019-10-07 20:00:00,1.713,
2019-10-07 20:00:00 to 2019-10-07 21:00:00,2.437,
2019-10-07 21:00:00 to 2019-10-07 22:00:00,3.84,
2019-10-07 22:00:00 to 2019-10-07 23:00:00,2.663,
2019-10-07 23:00:00 to 2019-10-08 00:00:00,1.627,
,,
